Event	ID	Name			Wwise Object Path	Notes
	106912753	Stop_Music_Menu			\Default Work Unit\Stop_Music_Menu	
	314495013	Play_Radar_Beep			\Default Work Unit\Play_Radar_Beep	
	574141670	Play_Lamp_Off			\Default Work Unit\Play_Lamp_Off	
	767463792	Play_Rooms_Pipes			\Default Work Unit\Play_Rooms_Pipes	
	1172822028	Play_Death			\Default Work Unit\Play_Death	
	1179077000	Play_Lamp_On			\Default Work Unit\Play_Lamp_On	
	1495041834	Stop_Monster			\Default Work Unit\Stop_Monster	
	1660008929	Play_Door_Open			\Default Work Unit\Play_Door_Open	
	1699343283	Play_Music_Menu			\Default Work Unit\Play_Music_Menu	
	1789807539	Play_Rooms_Drips			\Default Work Unit\Play_Rooms_Drips	
	1871533573	Play_Menu_Move			\Default Work Unit\Play_Menu_Move	
	1982372943	Play_Menu_Clic			\Default Work Unit\Play_Menu_Clic	
	2035525376	Play_Rooms_Wind_Howl			\Default Work Unit\Play_Rooms_Wind_Howl	
	2046989910	Play_Radar_Wave			\Default Work Unit\Play_Radar_Wave	
	2292458263	Play_Door_Close			\Default Work Unit\Play_Door_Close	
	2376328173	Monster			\Default Work Unit\Monster	
	2670164187	Play_EndGame			\Default Work Unit\Play_EndGame	
	2726703910	Play_Rooms_Bubbles			\Default Work Unit\Play_Rooms_Bubbles	
	2959533290	Play_Amb			\Default Work Unit\Play_Amb	
	3216656203	Play_Find			\Default Work Unit\Play_Find	
	3240726218	Player_Safe			\Default Work Unit\Player_Safe	
	4224100558	Player_Attacked			\Default Work Unit\Player_Attacked	

State Group	ID	Name			Wwise Object Path	Notes
	805002222	Monster_States			\Default Work Unit\Monster_States	

State	ID	Name	State Group			Notes
	180661997	attack	Monster_States			
	685805961	seek	Monster_States			
	748895195	None	Monster_States			
	1641806523	attacking	Monster_States			
	1874288895	idle	Monster_States			
	3011204530	move	Monster_States			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1078146560	Monster_Distance_Reverb			\Default Work Unit\Monster_Distance_Reverb	
	3549405019	Radar_Distance			\Default Work Unit\Radar_Distance	

Effect plug-ins	ID	Name	Type				Notes
	579988850	MonsterReverb (Custom)	Wwise RoomVerb			
	1858266461	MonsterReverb	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1796267	ClacMonstre_Idle11	D:\DISWwise\.cache\Windows\SFX\ClacMonstre_Idle11_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Monster\Idle\ClacMonstre_Idle11		13340
	12105516	ClacMonstre_Idle04	D:\DISWwise\.cache\Windows\SFX\ClacMonstre_Idle04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Monster\Idle\ClacMonstre_Idle04		14848
	33668173	ClacMonstre_Idle08	D:\DISWwise\.cache\Windows\SFX\ClacMonstre_Idle08_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Monster\Idle\ClacMonstre_Idle08		15024
	37994864	Bulles	D:\DISWwise\.cache\Windows\SFX\Bulles_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Rooms\Rooms\Bulles		5410604
	38988171	machine2	D:\DISWwise\.cache\Windows\SFX\machine2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Global Amb\Machine\machine2		1920548
	43874387	ClacMonstre_Idle12	D:\DISWwise\.cache\Windows\SFX\ClacMonstre_Idle12_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Monster\Idle\ClacMonstre_Idle12		21056
	86200336	ClacMonstre_Idle09	D:\DISWwise\.cache\Windows\SFX\ClacMonstre_Idle09_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Monster\Idle\ClacMonstre_Idle09		20156
	98288222	ClacMonstre_Idle14	D:\DISWwise\.cache\Windows\SFX\ClacMonstre_Idle14_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Monster\Idle\ClacMonstre_Idle14		20828
	117524056	AmbLow7	D:\DISWwise\.cache\Windows\SFX\AmbLow7_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Global Amb\AmbLow\AmbLow7		3528064
